"Antecedent (X)","Consequent (Y)","Support","Confidence","Lift","Leverage","Conviction"
"requester_pull=crosbymichael","reviewer_pull=vieux","0.0106","0.26056","3.24148","0.00733","1.23778"
"requester_pull=duglin","reviewer_pull=estesp","0.001","0.03977","3.2276","6.9E-4","1.02254"
"requester_pull=vdemeester","reviewer_pull=LK4D4","0.00129","0.20455","3.20792","8.9E-4","1.14429"
"requester_pull=creack","reviewer_pull=vieux","0.00516","0.25532","3.17624","0.00353","1.22326"
"requester_pull=jfrazelle","reviewer_pull=tiborvass","0.00315","0.15493","3.15234","0.00215","1.11588"
"requester_pull=hqhq","reviewer_pull=LK4D4","0.00258","0.2","3.1296","0.00176","1.15409"
"requester_pull=runcom","reviewer_pull=calavera","0.00143","0.08621","3.13353","9.8E-4","1.05429"
"requester_pull=hqhq","reviewer_pull=moxiegirl","0.001","0.07778","3.1196","6.8E-4","1.04472"
"requester_pull=brahmaroutu","reviewer_pull=icecrime","0.00115","0.11765","3.04096","7.7E-4","1.07163"
"requester_pull=tiborvass","reviewer_pull=icecrime","0.001","0.11667","3.01562","6.7E-4","1.06813"
"requester_pull=cyphar","reviewer_pull=crosbymichael","0.001","0.46667","2.9962","6.7E-4","1.40708"
"requester_pull=mrunalp","reviewer_pull=crosbymichael","0.001","0.46667","2.9962","6.7E-4","1.40708"
"requester_pull=brahmaroutu","reviewer_pull=tiborvass","0.00143","0.14706","3.00095","9.6E-4","1.09606"
"requester_pull=hqhq","reviewer_pull=cpuguy83","0.001","0.07778","2.87202","6.5E-4","1.04241"
"requester_pull=alexlarsson","reviewer_pull=creack","0.00244","0.17526","2.81826","0.00157","1.12306"
"requester_pull=moxiegirl","reviewer_pull=jfrazelle","0.00158","0.28947","2.75612","0.001","1.2146"
"requester_pull=alexlarsson","reviewer_pull=crosbymichael","0.00587","0.42268","2.71379","0.00371","1.4367"
"requester_pull=jfrazelle","reviewer_pull=tianon","0.00143","0.07042","2.70043","9.0E-4","1.03983"
"requester_pull=shin-","reviewer_pull=vieux","0.001","0.21212","2.63885","6.2E-4","1.12398"
"requester_pull=icecrime","reviewer_pull=jfrazelle","0.00315","0.275","2.61832","0.00195","1.21352"
"requester_pull=LK4D4","reviewer_pull=cpuguy83","0.00215","0.06977","2.57623","0.00132","1.04068"
"requester_pull=proppy","reviewer_pull=vieux","0.00115","0.20513","2.55185","7.0E-4","1.12078"
"requester_pull=cpuguy83","reviewer_pull=LK4D4","0.00301","0.16279","2.55307","0.00183","1.10802"
"requester_pull=alexlarsson","reviewer_pull=unclejack","0.00115","0.08247","2.52451","6.9E-4","1.04257"
"requester_pull=jhowardmsft","reviewer_pull=LK4D4","0.00301","0.15556","2.4396","0.00178","1.09906"
"requester_pull=ahmetalpbalkan","reviewer_pull=tiborvass","0.00143","0.11905","2.42934","8.4E-4","1.06512"
"requester_pull=unclejack","reviewer_pull=tianon","0.00143","0.06329","2.42697","8.4E-4","1.03275"
"requester_pull=shykes","reviewer_pull=creack","0.00215","0.14706","2.3648","0.00124","1.08701"
"requester_pull=jfrazelle","reviewer_pull=LK4D4","0.00301","0.14789","2.31934","0.00171","1.08972"
"requester_pull=duglin","reviewer_pull=LK4D4","0.00373","0.14773","2.31163","0.00211","1.09108"
"requester_pull=calavera","reviewer_pull=LK4D4","0.00143","0.14493","2.26782","8.0E-4","1.07651"
"requester_pull=icecrime","reviewer_pull=LK4D4","0.00158","0.1375","2.15643","8.5E-4","1.06999"
"requester_pull=estesp","reviewer_pull=LK4D4","0.00115","0.13559","2.12653","6.1E-4","1.06227"
"requester_pull=estesp","reviewer_pull=jfrazelle","0.00186","0.22034","2.09788","9.7E-4","1.12347"
"requester_pull=brahmaroutu","reviewer_pull=LK4D4","0.00129","0.13235","2.07106","6.7E-4","1.06091"
"requester_pull=coolljt0725","reviewer_pull=jfrazelle","0.00272","0.21591","2.0557","0.0014","1.12511"
"requester_pull=calavera","reviewer_pull=tiborvass","0.001","0.10145","2.06418","5.2E-4","1.04141"
"requester_pull=unclejack","reviewer_pull=tiborvass","0.00229","0.10127","2.06045","0.00118","1.05059"
"requester_pull=unclejack","reviewer_pull=vieux","0.00373","0.16456","2.04714","0.00191","1.09248"
"requester_pull=ahmetalpbalkan","reviewer_pull=LK4D4","0.00158","0.13095","2.04914","8.1E-4","1.06259"
"requester_pull=vieux","reviewer_pull=crosbymichael","0.01247","0.31752","2.0386","0.00635","1.23045"
"requester_pull=unclejack","reviewer_pull=creack","0.00287","0.12658","2.03552","0.00146","1.066"
"requester_pull=hqhq","reviewer_pull=icecrime","0.001","0.07778","2.01041","5.0E-4","1.02998"
"requester_pull=duglin","reviewer_pull=jfrazelle","0.0053","0.21023","2.0016","0.00265","1.12511"
"requester_pull=vbatts","reviewer_pull=crosbymichael","0.00416","0.30851","1.98077","0.00206","1.20241"
"requester_pull=shykes","reviewer_pull=crosbymichael","0.00444","0.30392","1.95131","0.00217","1.19602"
"requester_pull=LK4D4","reviewer_pull=jfrazelle","0.0063","0.20465","1.95118","0.00307","1.11889"
"requester_pull=vbatts","reviewer_pull=tiborvass","0.00129","0.09574","1.94811","6.3E-4","1.0393"
"requester_pull=erikh","reviewer_pull=crosbymichael","0.00301","0.3","1.9279","0.00145","1.18215"
"requester_pull=creack","reviewer_pull=crosbymichael","0.00602","0.29787","1.91247","0.00287","1.19039"
"requester_pull=LK4D4","reviewer_pull=tiborvass","0.00287","0.09302","1.89274","0.00135","1.04303"
"requester_pull=cpuguy83","reviewer_pull=jfrazelle","0.00358","0.1938","1.84518","0.00164","1.09954"
"requester_pull=vbatts","reviewer_pull=vieux","0.00201","0.14894","1.85281","9.2E-4","1.06721"
"requester_pull=duglin","reviewer_pull=tiborvass","0.00229","0.09091","1.84972","0.00105","1.03944"
"requester_pull=LK4D4","reviewer_pull=unclejack","0.00186","0.06047","1.85082","8.6E-4","1.02451"
"requester_pull=rhatdan","reviewer_pull=crosbymichael","0.00244","0.28333","1.81912","0.0011","1.15125"
"requester_pull=jfrazelle","reviewer_pull=icecrime","0.00143","0.07042","1.82029","6.5E-4","1.02636"
"requester_pull=dmcgowan","reviewer_pull=crosbymichael","0.00201","0.28","1.79772","8.9E-4","1.14087"
"requester_pull=LK4D4","reviewer_pull=crosbymichael","0.0086","0.27907","1.79175","0.0038","1.16355"
"requester_pull=unclejack","reviewer_pull=LK4D4","0.00258","0.11392","1.78669","0.00114","1.04912"
"requester_pull=tianon","reviewer_pull=vieux","0.00502","0.14228","1.76996","0.00218","1.0671"
"requester_pull=tiborvass","reviewer_pull=crosbymichael","0.00229","0.26667","1.71211","9.5E-4","1.12566"
"requester_pull=brahmaroutu","reviewer_pull=jfrazelle","0.00172","0.17647","1.6802","7.0E-4","1.06768"
"requester_pull=duglin","reviewer_pull=cpuguy83","0.00115","0.04545","1.67845","4.6E-4","1.01322"
"requester_pull=calavera","reviewer_pull=jfrazelle","0.00172","0.17391","1.65585","6.8E-4","1.06471"
"requester_pull=rhatdan","reviewer_pull=vieux","0.00115","0.13333","1.6587","4.6E-4","1.04107"
"requester_pull=tiborvass","reviewer_pull=vieux","0.00115","0.13333","1.6587","4.6E-4","1.04107"
"requester_pull=jhowardmsft","reviewer_pull=tiborvass","0.00158","0.08148","1.6579","6.3E-4","1.02692"
"requester_pull=duglin","reviewer_pull=moxiegirl","0.001","0.03977","1.59525","3.7E-4","1.00948"
"requester_pull=duglin","reviewer_pull=jamtur01","0.00229","0.09091","1.59411","8.5E-4","1.03083"
"requester_pull=tianon","reviewer_pull=creack","0.00344","0.09756","1.56884","0.00125","1.03454"
"requester_pull=LK4D4","reviewer_pull=vieux","0.00387","0.12558","1.56227","0.00139","1.04612"
"requester_pull=erikh","reviewer_pull=LK4D4","0.001","0.1","1.5648","3.6E-4","1.02385"
"requester_pull=vieux","reviewer_pull=shykes","0.00301","0.07664","1.5549","0.00107","1.02557"
"requester_pull=tianon","reviewer_pull=metalivedev","0.00229","0.06504","1.52835","7.9E-4","1.01962"
"requester_pull=hqhq","reviewer_pull=jfrazelle","0.00201","0.15556","1.48107","6.5E-4","1.04607"
"requester_pull=unclejack","reviewer_pull=crosbymichael","0.00516","0.22785","1.46288","0.00163","1.08448"
"requester_pull=tianon","reviewer_pull=crosbymichael","0.00788","0.22358","1.43678","0.0024","1.08188"
"requester_pull=tianon","reviewer_pull=jfrazelle","0.0053","0.15041","1.43204","0.0016","1.04839"
"requester_pull=SvenDowideit","reviewer_pull=tianon","0.00143","0.03571","1.36951","3.9E-4","1.00627"
"requester_pull=icecrime","reviewer_pull=crosbymichael","0.00244","0.2125","1.36434","6.5E-4","1.05531"
"requester_pull=shin-","reviewer_pull=crosbymichael","0.001","0.21212","1.36191","2.7E-4","1.03186"
"requester_pull=vbatts","reviewer_pull=jfrazelle","0.00186","0.1383","1.31675","4.5E-4","1.02594"
"requester_pull=tianon","reviewer_pull=shykes","0.00229","0.06504","1.31953","5.6E-4","1.01244"
"requester_pull=LK4D4","reviewer_pull=icecrime","0.00158","0.05116","1.32246","3.8E-4","1.00821"
"requester_pull=jfrazelle","reviewer_pull=crosbymichael","0.00416","0.20423","1.31121","9.9E-4","1.05161"
"requester_pull=runcom","reviewer_pull=jfrazelle","0.00229","0.13793","1.31326","5.5E-4","1.02789"
"requester_pull=alexlarsson","reviewer_pull=vieux","0.00143","0.10309","1.2825","3.2E-4","1.01367"
"requester_pull=rhatdan","reviewer_pull=jfrazelle","0.00115","0.13333","1.26949","2.4E-4","1.01317"
"requester_pull=cpuguy83","reviewer_pull=tiborvass","0.00115","0.06202","1.26183","2.4E-4","1.00541"
"requester_pull=coolljt0725","reviewer_pull=LK4D4","0.001","0.07955","1.24473","2.0E-4","1.00459"
"requester_pull=runcom","reviewer_pull=tiborvass","0.001","0.06034","1.22783","1.9E-4","1.00272"
"requester_pull=jhowardmsft","reviewer_pull=jfrazelle","0.00244","0.12593","1.2006","4.1E-4","1.01547"
"requester_pull=crosbymichael","reviewer_pull=shykes","0.00229","0.05634","1.14297","2.9E-4","1.00372"
"requester_pull=cpuguy83","reviewer_pull=SvenDowideit","0.001","0.05426","1.13725","1.2E-4","0.99874"
"requester_pull=tiborvass","reviewer_pull=jfrazelle","0.001","0.11667","1.1108","1.0E-4","0.99441"
"requester_pull=tianon","reviewer_pull=unclejack","0.00129","0.03659","1.11497","1.3E-4","0.9997"
"requester_pull=cpuguy83","reviewer_pull=crosbymichael","0.00315","0.17054","1.09496","2.7E-4","1.00841"
"requester_pull=tianon","reviewer_pull=tiborvass","0.00186","0.05285","1.07524","1.3E-4","0.99961"
"requester_pull=crosbymichael","reviewer_pull=tianon","0.00115","0.02817","1.08017","9.0E-5","0.99853"
"requester_pull=unclejack","reviewer_pull=SvenDowideit","0.00115","0.05063","1.06116","7.0E-5","0.99643"
"requester_pull=duglin","reviewer_pull=icecrime","0.001","0.03977","1.02805","3.0E-5","0.99524"
"requester_pull=jlhawn","reviewer_pull=crosbymichael","0.001","0.14583","0.93717","-7.0E-5","0.96502"
"requester_pull=calavera","reviewer_pull=crosbymichael","0.00143","0.14493","0.93135","-1.1E-4","0.97105"
"requester_pull=crosbymichael","reviewer_pull=tiborvass","0.00186","0.04577","0.9341","-1.3E-4","0.99295"
"requester_pull=duglin","reviewer_pull=crosbymichael","0.00344","0.13636","0.87551","-4.9E-4","0.97116"
"requester_pull=coolljt0725","reviewer_pull=crosbymichael","0.00172","0.13636","0.87551","-2.4E-4","0.96485"
"requester_pull=hqhq","reviewer_pull=crosbymichael","0.00172","0.13333","0.85606","-2.9E-4","0.9618"
"requester_pull=crosbymichael","reviewer_pull=jfrazelle","0.00358","0.08803","0.83813","-6.9E-4","0.97758"
"requester_pull=estesp","reviewer_pull=crosbymichael","0.001","0.11864","0.76245","-3.1E-4","0.93998"
"requester_pull=vieux","reviewer_pull=tiborvass","0.00143","0.0365","0.74259","-5.0E-4","0.98315"
"requester_pull=tianon","reviewer_pull=LK4D4","0.00143","0.04065","0.63753","-8.1E-4","0.97179"
"requester_pull=SvenDowideit","reviewer_pull=vieux","0.00201","0.05","0.62201","-0.00122","0.96439"
"requester_pull=runcom","reviewer_pull=crosbymichael","0.00158","0.09483","0.60883","-0.00101","0.92389"
"requester_pull=crosbymichael","reviewer_pull=LK4D4","0.00143","0.03521","0.55099","-0.00117","0.96673"
"requester_pull=SvenDowideit","reviewer_pull=crosbymichael","0.00272","0.06786","0.43567","-0.00353","0.90225"
"requester_pull=SvenDowideit","reviewer_pull=creack","0.001","0.025","0.40202","-0.00149","0.95835"
"requester_pull=jhowardmsft","reviewer_pull=crosbymichael","0.00115","0.05926","0.38082","-0.00186","0.89057"
"requester_pull=SvenDowideit","reviewer_pull=jfrazelle","0.00143","0.03571","0.34004","-0.00278","0.92469"
